data,player,language,publishedAt,predicted_cluster,topic
trainer alonso mitgereisten fans monaco glucksmoment hebt tor euro highlight geht bundesliga sonntag uhr freiburg,exequiel palacios,de,2023-02-24T09:33:31Z,1,Other
sechser droht viereinhalb monaten pause bitterer abschied  dafur erscheint verletzungspause lang zudem konkurrenzsituation doppelsechs seit woche voll saft stehenden amiri demirbay andrich voraussetzungen extrem schwierige fur aranguiz zuletzt aufgrund personellen engpasse innenverteidigung zentral abwehrkette eingesetzte andrich kunftig mittelfeld auflaufen durfte alonso vorrucken jahrigen sechs sonntag hertha bsc nicht sicher einstufen mochte,exequiel palacios,de,2023-03-03T21:35:13Z,1,Other
 sechser erklart budapest spiel jungsten fortschritt  donnerstag achtelfinal hinspiel europaleague ferencvaros budapest empfangt andrich fehlen sah defensive mittelfeldspieler erfolg elfmeterschiessen monaco dritte gelbe karte gesperrt massive schwachung fur werkself doppelsechs andrich zuletzt erfolgsfaktor andrich ausgerechnet kurzen phase saison  gleichzeitig spielerisch uberzeugt erfolgreichen fussball spielt zwangspause einlegen wurmt bedingt argerlich irgendwann ware sperre wahrscheinlich gekommen daher lieber eventuell viertel halbfinale sorgen erklart jahrige lacheln,exequiel palacios,de,2023-03-07T11:34:39Z,0,Europa League
"bakker mittwoch abschluss training  nicht ausgeschlossen jedoch bakker ungarn startelf steht ,,er option"" erklart alonso mittelfeld doppel sechs verzichten andrich gesperrt fur stehen demirbay amiri bereit frimpong budapest einsatzbereit hertha wegen muskularer probleme bereits minuten platz verlassen mussen ,,er gut trainiert fuhlt besser dabei"" erklart alonso grossen respekt ungarn ,,das guter gegner sehe niveau monaco",exequiel palacios,de,2023-03-08T14:25:18Z,1,Other
warum sehe faz net nicht allerdings andrich argentinischen weltmeister beide eigentlich gesetzten sechser gesperrt charles aranguiz zudem verletzt donnerstag machten sache zumindest ordentlich mehr thema,exequiel palacios,de,2023-03-09T19:53:46Z,6,Game description
spaten tor joker sven michel union berlin mitreissenden achtelfinal hinspiel europaleague unentschieden gerettet chancen weiterkommen deutlich verbessert berliner taten royale union saint gilloise heimischen stadion alten forsterei erneut schwer kamen zuschauern schossen victor boniface minute yorbe vertessen gaste dreimal fuhrung josip juranovic robin knoche michel erzielten jeweiligen ausgleichstore fussball bundesligisten comeback qualitaten bewies,exequiel palacios,de,2023-03-09T20:01:53Z,7,Europa League
gut fehlentscheidung sascha stegemann borussia dortmund meisterschaft kostet entscheidenden momente gab bundesliga historie mehrfach sportschau blickt zuruck,exequiel palacios,de,2023-03-09T20:18:19Z,2,Bundesliga News
spielen nicht gucken weit geht platz gefuhl spiel gut kontrollieren sagte amiri rtl durchhanger zweiten halfte bisschen gefahrlich geworden brachte  diesmal nicht wanken grossen ganzen gutes spiel gemacht erwachsen konzentriert durchgezogen lobte amiri demirbay mittelfeldzentrum anstelle gelbgesperrten andrich fur gewisse stabilitat balance gesorgt gerade erwachsene spielweise brauche weiss vogelwild geht her tut nicht gut anfallig fur gegentore,exequiel palacios,de,2023-03-09T22:03:00Z,3,Bundesliga News
" trainer stellt nahende wiedersehen klub bayern munchen rotationsproblem fur erste spiel bremen gestaltet zumindest einfacher februar hinspiel monaco niederlage mainz startelf funf positionen anderte stehen stamm sechser andrich donnerstag gesperrt frisch fur einsatz beginn verfugung disziplinproblemen hertha bsc nicht berucksichtigte budapest nicht eingesetzte bakker links anfangsformation rutschen konnte mittelsturmer patrik schick sieht trainer ,,er braucht vielleicht mehr zeit"" hingegen offenbar nicht bereit fur erste elf adam hlozek adli bieten zwei alternativen fur dreieroffensive",exequiel palacios,de,2023-03-10T17:47:41Z,3,Bundesliga News
heisse begegnung bremen trotz fruhen fuhrungstreffers marvin duksch gibt werder bundesliga spiel  hand niclas fullkrug verkurzt kurz schluss per elfmeter tor kommt spat spiel nachlesen,exequiel palacios,de,2023-03-12T11:30:02Z,2,Bundesliga News
torschutzen diaby adli feiern adlis treffer fur  argentinische weltmeister katar nachsten starken spiel standig ball hinkam note bakker minute grossen torchancen niederlander liess nichts anbrennen flanken fehlte bisweilen prazision note,exequiel palacios,de,2023-03-17T07:01:04Z,6,Game description
